package_name,decoy_num_processes,decoy_num_files,decoy_num_domains,decoy_num_dns,decoy_num_http_requests,decoy_num_payloads,decoy_timeline_length,decoy_num_network_ips,decoy_num_public_ips,decoy_num_private_or_local_ips,decoy_num_countries,decoy_has_processes,decoy_has_files,decoy_has_domains,decoy_has_dns,decoy_has_http_requests,decoy_has_payloads,decoy_has_network,decoy_has_timeline,decoy_has_node_process,decoy_has_execve,decoy_has_openat,decoy_has_access_ld_preload
package_148.tgz,1,0,178,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_466.tgz,2,2,331,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_473.tgz,1,0,5,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_559.tgz,2,0,0,0,0,2,1820,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
package_216.tgz,1,0,360,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_253.tgz,1,0,56,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_266.tgz,1,0,71,0,0,0,100,7,4,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_439.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_178.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_289.tgz,54,54,417,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_247.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_278.tgz,15,19,406,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_275.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_553.tgz,4,0,473,0,0,0,7321,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_265.tgz,1,0,67,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_211.tgz,2,0,402,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_209.tgz,3,0,474,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_264.tgz,1,0,67,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_568.tgz,2,0,0,0,0,0,1294,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
package_417.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_256.tgz,1,0,60,0,0,0,100,7,4,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_269.tgz,1,0,33,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_531.tgz,19,0,178,0,0,0,100,5,1,4,1,1,0,1,0,0,0,1,1,1,1,1,1
package_485.tgz,11,5,0,9,0,0,100,9,9,0,2,1,1,0,1,0,0,1,1,1,1,1,1
package_582.tgz,2,0,0,0,0,0,387,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
package_419.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_573.tgz,2,0,0,0,0,2,1796,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
package_243.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_271.tgz,1,1,14,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_303.tgz,1,1,346,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_242.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_484.tgz,1,1,0,4,0,0,100,4,4,0,2,1,1,0,1,0,0,1,1,1,1,1,1
package_556.tgz,3,0,399,0,0,0,5012,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_299.tgz,8,8,27,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_161.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_468.tgz,83,83,457,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
package_488.tgz,19,0,914,0,0,0,100,12,9,3,2,1,0,1,0,0,0,1,1,1,1,1,1
package_257.tgz,1,0,56,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_554.tgz,3,0,401,0,0,0,4926,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
package_239.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_230.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_529.tgz,3,0,110,0,0,2,100,10,7,3,3,1,0,1,0,0,1,1,1,1,1,1,1
package_314.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_146.tgz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
